Name,ISIN,Stock Market,Regulator 
Modern Times Group B,SE0000412371,Nasdaq Stockholm ,FIS
Proact IT Group,SE0000412991,Nasdaq Stockholm ,FIS
CTT Systems,SE0000418923,Nasdaq Stockholm ,FIS
Knowit,SE0000421273,Nasdaq Stockholm ,FIS
New Wave B,SE0000426546,Nasdaq Stockholm ,FIS
Biotage,SE0000454746,Nasdaq Stockholm ,FIS
Fast. Balder B,SE0000455057,Nasdaq Stockholm ,FIS
BioGaia B,SE0000470395,Nasdaq Stockholm ,FIS
Addnode Group B,SE0000472268,Nasdaq Stockholm ,FIS
Malmbergs Elektriska B,SE0000507659,Nasdaq Stockholm ,FIS
Micro Systemation B,SE0000526626,Nasdaq Stockholm ,FIS
Kungsleden,SE0000549412,Nasdaq Stockholm ,FIS
Midsona A,SE0000565210,Nasdaq Stockholm ,FIS
Midsona B,SE0000565228,Nasdaq Stockholm ,FIS
Poolia B,SE0000567539,Nasdaq Stockholm ,FIS
Sensys Gatso Group,SE0000567729,Nasdaq Stockholm ,FIS
NOVOTEK B,SE0000567752,Nasdaq Stockholm ,FIS
Clas Ohlson B,SE0000584948,Nasdaq Stockholm ,FIS
Duni,SE0000616716,Nasdaq Stockholm ,FIS
ICA Gruppen,SE0000652216,Nasdaq Stockholm ,FIS
Studsvik,SE0000653230,Nasdaq Stockholm ,FIS
Sandvik,SE0000667891,Nasdaq Stockholm ,FIS
Telia Company,SE0000667925,Nasdaq Stockholm ,FIS
Beijer Electronics Group,SE0000671711,Nasdaq Stockholm ,FIS
Moment Group,SE0000680902,Nasdaq Stockholm ,FIS
CellaVision,SE0000683484,Nasdaq Stockholm ,FIS
Alfa Laval,SE0000695876,Nasdaq Stockholm ,FIS
Oasmia Pharmaceutical,SE0000722365,Nasdaq Stockholm ,FIS
Orexo,SE0000736415,Nasdaq Stockholm ,FIS
Alligator Bioscience,SE0000767188,Nasdaq Stockholm ,FIS
AQ Group,SE0000772956,Nasdaq Stockholm ,FIS
BioInvent International,SE0000789711,Nasdaq Stockholm ,FIS
BTS Group B,SE0000805426,Nasdaq Stockholm ,FIS
JM,SE0000806994,Nasdaq Stockholm ,FIS
Lundin Energy,SE0000825820,Nasdaq Stockholm ,FIS
BillerudKorsnäs,SE0000862997,Nasdaq Stockholm ,FIS
Swedish Orphan Biovitrum,SE0000872095,Nasdaq Stockholm ,FIS
Intrum,SE0000936478,Nasdaq Stockholm ,FIS
Nobia,SE0000949331,Nasdaq Stockholm ,FIS
SinterCast,SE0000950982,Nasdaq Stockholm ,FIS
ZetaDisplay,SE0001105511,Nasdaq Stockholm ,FIS
FM Mattsson Mora Group B,SE0001116021,Nasdaq Stockholm ,FIS
Active Biotech,SE0001137985,Nasdaq Stockholm ,FIS
NOTE,SE0001161654,Nasdaq Stockholm ,FIS
Millicom Int. Cellular SDB,SE0001174970,Nasdaq Stockholm ,FIS
INVISIO,SE0001200015,Nasdaq Stockholm ,FIS
Probi,SE0001280355,Nasdaq Stockholm ,FIS
FormPipe Software,SE0001338039,Nasdaq Stockholm ,FIS
Indutrade,SE0001515552,Nasdaq Stockholm ,FIS
TradeDoubler,SE0001552357,Nasdaq Stockholm ,FIS
Electra Gruppen,SE0001572520,Nasdaq Stockholm ,FIS
A3 Allmänna IT- och Telekom.,SE0001625534,Nasdaq Stockholm ,FIS
Sagax pref,SE0001629288,Nasdaq Stockholm ,FIS
Diös Fastigheter,SE0001634262,Nasdaq Stockholm ,FIS
Husqvarna A,SE0001662222,Nasdaq Stockholm ,FIS
Husqvarna B,SE0001662230,Nasdaq Stockholm ,FIS
Catena,SE0001664707,Nasdaq Stockholm ,FIS
Precise Biometrics,SE0001823303,Nasdaq Stockholm ,FIS
G5 Entertainment,SE0001824004,Nasdaq Stockholm ,FIS
Lindab International,SE0001852419,Nasdaq Stockholm ,FIS
NAXS,SE0001965369,Nasdaq Stockholm ,FIS
C-RAD B,SE0002016352,Nasdaq Stockholm ,FIS
Odd Molly International,SE0002017657,Nasdaq Stockholm ,FIS
Arise,SE0002095604,Nasdaq Stockholm ,FIS
Mekonomen,SE0002110064,Nasdaq Stockholm ,FIS
Systemair,SE0002133975,Nasdaq Stockholm ,FIS
Hansa Biopharma,SE0002148817,Nasdaq Stockholm ,FIS
Eastnine,SE0002158568,Nasdaq Stockholm ,FIS
Karolinska Development B,SE0002190926,Nasdaq Stockholm ,FIS
Hexatronic Group,SE0002367797,Nasdaq Stockholm ,FIS
eWork Group,SE0002402701,Nasdaq Stockholm ,FIS
Abliva,SE0002575340,Nasdaq Stockholm ,FIS
GHP Specialty Care,SE0002579912,Nasdaq Stockholm ,FIS
Tobii,SE0002591420,Nasdaq Stockholm ,FIS
Cloetta B,SE0002626861,Nasdaq Stockholm ,FIS
Byggmax Group,SE0003303627,Nasdaq Stockholm ,FIS
SAS,SE0003366871,Nasdaq Stockholm ,FIS
Episurf B,SE0003491562,Nasdaq Stockholm ,FIS
Nelly Group,SE0003652163,Nasdaq Stockholm ,FIS
PledPharma,SE0003815604,Nasdaq Stockholm ,FIS
Bulten,SE0003849223,Nasdaq Stockholm ,FIS
Dedicare B,SE0003909282,Nasdaq Stockholm ,FIS
Concentric,SE0003950864,Nasdaq Stockholm ,FIS
Creades A,SE0004390516,Nasdaq Stockholm ,FIS
Eniro Pref B,SE0004633956,Nasdaq Stockholm ,FIS
Sagax A,SE0004635878,Nasdaq Stockholm ,FIS
Xvivo Perfusion,SE0004840718,Nasdaq Stockholm ,FIS
Platzer Fastigheter Holding B,SE0004977692,Nasdaq Stockholm ,FIS
Immunicum,SE0005003654,Nasdaq Stockholm ,FIS
Oscar Properties Holding,SE0005095601,Nasdaq Stockholm ,FIS
Sagax B,SE0005127818,Nasdaq Stockholm ,FIS
Tele2 A,SE0005190220,Nasdaq Stockholm ,FIS
Tele2 B,SE0005190238,Nasdaq Stockholm ,FIS
RNB RETAIL AND BRANDS,SE0005223674,Nasdaq Stockholm ,FIS
Ferronordic,SE0005468717,Nasdaq Stockholm ,FIS
Bufab,SE0005677135,Nasdaq Stockholm ,FIS
Recipharm B,SE0005757267,Nasdaq Stockholm ,FIS
Saniona,SE0005794617,Nasdaq Stockholm ,FIS
I.A.R Systems Group,SE0005851706,Nasdaq Stockholm ,FIS
OEM International B,SE0005876968,Nasdaq Stockholm ,FIS
Hanza Holding,SE0005878543,Nasdaq Stockholm ,FIS
Bactiguard Holding B,SE0005878741,Nasdaq Stockholm ,FIS
Besqab,SE0005991411,Nasdaq Stockholm ,FIS
Starbreeze B,SE0005992831,Nasdaq Stockholm ,FIS
Scandi Standard,SE0005999760,Nasdaq Stockholm ,FIS
ÅF Pöyry B,SE0005999836,Nasdaq Stockholm ,FIS
Immunovia,SE0006091997,Nasdaq Stockholm ,FIS
