Name,ISIN,Stock Market,Regulator 
APAX GLOBAL ALPHA LIMITED,GG00BWWYMV85,LSE,FCA 
APPLEGREEN PLC,IE00BXC8D038,LSE,FCA 
APPLIED GRAPHENE MATERIALS PLC,GB00BFSSB742,LSE,FCA 
APPRECIATE GROUP PLC,GB0006710643,LSE,FCA 
APQ GLOBAL LIMITED,GG00BZ6VP173,LSE,FCA 
APTITUDE SOFTWARE GROUP PLC,GB00BJV2F804,LSE,FCA 
AQUILA EUROPEAN RENEWABLES INCOME FUND PLC,GB00BK6RLF66,LSE,FCA 
AQUILA EUROPEAN RENEWABLES INCOME FUND PLC,GB00BK6RLF66,LSE,FCA 
AQUILA SERVICES GROUP PLC,GB00BPYP3Q26,LSE,FCA 
AQUIS EXCHANGE PLC,GB00BD5JNK30,LSE,FCA 
ARBUTHNOT BANKING GROUP PLC,GB0007922338,LSE,FCA 
ARC MINERALS LIMITED,VGG045791016,LSE,FCA 
ARCONTECH GROUP PLC,GB00BDBBJZ03,LSE,FCA 
ARDEN PARTNERS PLC,GB00B15CTY44,LSE,FCA 
ARENA EVENTS GROUP PLC,GB00BF0HYJ24,LSE,FCA 
ARGENTEX GROUP PLC,GB00BJLPH056,LSE,FCA 
ARGO BLOCKCHAIN PLC,GB00BZ15CS02,LSE,FCA 
ARGO GROUP LIMITED,IM00B2RDSS92,LSE,FCA 
ARGOS RESOURCES LIMITED,FK0114538241,LSE,FCA 
ARIANA RESOURCES PLC,GB00B085SD50,LSE,FCA 
ARIX BIOSCIENCE PLC,GB00BD045071,LSE,FCA 
ARKLE RESOURCES PLC,IE00B2357X72,LSE,FCA 
ARMADALE CAPITAL PLC,GB00BYMSY631,LSE,FCA 
ARRICANO REAL ESTATE PLC,CY0102941610,LSE,FCA 
ARROW GLOBAL GROUP PLC,GB00BDGTXM47,LSE,FCA 
ARTEMIS ALPHA TRUST PLC,GB0004355946,LSE,FCA 
BASE RESOURCES LIMITED,AU000000BSE5,LSE,FCA 
BASKERVILLE CAPITAL PLC,GB00BDZRYX75,LSE,FCA 
BATM ADVANCED COMMUNICATIONS LD,IL0010849045,LSE,FCA 
BBGI GLOBAL INFRASTRUCTURE S.A. ,LU0686550053,LSE,FCA 
BB HEALTHCARE TRUST PLC,GB00BZCNLL95,LSE,FCA 
BBVA CAPITAL FUNDING LD,KYG089961117,LSE,FCA 
BEAZLEY PLC,GB00BYQ0JC66,LSE,FCA 
BEEKS FINANCIAL CLOUD GROUP PLC,GB00BZ0X8W18,LSE,FCA 
BEGBIES TRAYNOR GROUP PLC,GB00B0305S97,LSE,FCA 
BELLWAY PLC,GB0000904986,LSE,FCA 
BELVOIR GROUP PLC,GB00B4QY1P51,LSE,FCA 
BENCHMARK HOLDINGS PLC,GB00BGHPT808,LSE,FCA 
BEOWULF MINING PLC,GB0033163287,LSE,FCA 
BERKELEY ENERGIA LIMITED,AU000000BKY0,LSE,FCA 
BERKELEY GROUP HOLDINGS (THE) PLC,GB00B02L3W35,LSE,FCA 
BERMELE PLC,GB00BJ1F3295,LSE,FCA 
BEST OF THE BEST PLC,GB00B16S3505,LSE,FCA 
BEZANT RESOURCES PLC,GB00B1CKQD97,LSE,FCA 
BH GLOBAL LIMITED,GG00B2QQPT96,LSE,FCA 
BH GLOBAL LIMITED,GG00B2QQPS89,LSE,FCA 
BH MACRO LIMITED,GG00B1NP5142,LSE,FCA 
BH MACRO LIMITED,GG00B1NPGV15,LSE,FCA 
BHP GROUP PLC,GB00BH0P3Z91,LSE,FCA 
BIDSTACK GROUP PLC,GB00BZ7M6059,LSE,FCA 
BIFFA PLC,GB00BD8DR117,LSE,FCA 
BIGBLU BROADBAND PLC,GB00BD5JMP10,LSE,FCA 
BIGDISH PLC,JE00BG12QT70,LSE,FCA 
BIG YELLOW GROUP PLC,GB0002869419,LSE,FCA 
BILBY PLC,GB00BV9GHQ09,LSE,FCA 
BILLINGTON HOLDINGS PLC,GB0000332667,LSE,FCA 
BIOME TECHNOLOGIES PLC,GB00B9Z1M820,LSE,FCA 
BION PLC,JE00BYTQ7945,LSE,FCA 
BIOPHARMA CREDIT PLC,GB00BDGKMY29,LSE,FCA 
BIOTECH GROWTH TRUST (THE) PLC,GB0000385517,LSE,FCA 
BIOVENTIX PLC,GB00B4QVDF07,LSE,FCA 
BISICHI PLC,GB0001012045,LSE,FCA 
BLACKBIRD PLC,GB0004740477,LSE,FCA 
BLACKFINCH SPRING VCT PLC,GB00BKV46W45,LSE,FCA 
BLACKROCK ENERGY AND RESOURCES INCOME TRUST PLC,GB00B0N8MF98,LSE,FCA 
BLACKROCK FRONTIERS INVESTMENT TRUST PLC,GB00B3SXM832,LSE,FCA 
BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,GB00B01RDH75,LSE,FCA 
BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC,GB0030961691,LSE,FCA 
BLACKROCK LATIN AMERICAN INVESTMENT TRUST PLC,GB0005058408,LSE,FCA 
BLACKROCK NORTH AMERICAN INCOME TRUST PLC,GB00B7W0XJ61,LSE,FCA 
BLACKROCK SMALLER CO TRUST PLC,GB0006436108,LSE,FCA 
BLACKROCK THROGMORTON TRUST PLC,GB0008910555,LSE,FCA 
BLACKROCK WORLD MINING TRUST PLC,GB0005774855,LSE,FCA 
BLACKSTONE / GSO LOAN FINANCING LIMITED,JE00BNCB5T53,LSE,FCA 
BLACKSTONE / GSO LOAN FINANCING LIMITED,JE00BNCB5T53,LSE,FCA 
BLANCCO TECHNOLOGY GROUP PLC,GB00B06GNN57,LSE,FCA 
BLENCOWE RESOURCES PLC,GB00BFCMVS34,LSE,FCA 
BLOCK ENERGY PLC,GB00BF3TBT48,LSE,FCA 
BLOOMSBURY PUBLISHING PLC,GB0033147751,LSE,FCA 
BLUEBIRD MERCHANT VENTURES LTD,VGG118701058,LSE,FCA 
BLUEFIELD SOLAR INCOME FUND LIMITED,GG00BB0RDB98,LSE,FCA 
BLUEJAY MINING PLC,GB00BFD3VF20,LSE,FCA 
BLUE PLANET INVESTMENT TRUST PLC,GB0005327076,LSE,FCA 
BRIGHTON PIER GROUP PLC (THE),GB00BG49KW66,LSE,FCA 
BRISTOL WATER PLC,GB0001257988,LSE,FCA 
BRISTOL & WEST PLC,GB0000510205,LSE,FCA 
BRITISH & AMERICAN INVESTMENT TRUST PLC,GB0000653112,LSE,FCA 
BRITISH AMERICAN TOBACCO PLC,GB0002875804,LSE,FCA 
BRITISH LAND COMPANY PLC,GB0001367019,LSE,FCA 
BRITISH SMALLER COMPANIES VCT2 PLC,GB0005001796,LSE,FCA 
BRITISH SMALLER COMPANIES VCT PLC,GB0001403152,LSE,FCA 
BRITVIC PLC,GB00B0N8QD54,LSE,FCA 
BROOKS MACDONALD GROUP PLC,GB00B067N833,LSE,FCA 
BROWN (N) GROUP PLC,GB00B1P6ZR11,LSE,FCA 
BRUNNER INVESTMENT TRUST PLC,GB0001490449,LSE,FCA 
BRUNNER INVESTMENT TRUST PLC,GB0001490001,LSE,FCA 
B.S.D CROWN LTD,IL0010830219,LSE,FCA 
BSF ENTERPRISE PLC,GB00BHNBDQ51,LSE,FCA 
BT GROUP PLC,GB0030913577,LSE,FCA 
BUNZL PLC,GB00B0744B38,LSE,FCA 
BURBERRY GROUP PLC,GB0031743007,LSE,FCA 
BURFORD CAPITAL LIMITED,GG00BMGYLN96,LSE,FCA 
BUSHVELD MINERALS LIMITED,GG00B4TM3943,LSE,FCA 
BYOTROL PLC,GB00B0999995,LSE,FCA 
C4X DISCOVERY HOLDINGS PLC,GB00BQQ2RV18,LSE,FCA 
CADENCE MINERALS PLC,GB00BJP0B151,LSE,FCA 
CADOGAN PETROLEUM PLC,GB00B12WC938,LSE,FCA 
CAFFYNS PLC,GB0001615433,LSE,FCA 
CAFFYNS PLC,GB0001615540,LSE,FCA 
CAFFYNS PLC,GB0001615219,LSE,FCA 
CAIRN ENERGY PLC,GB00B74CDH82,LSE,FCA 
CAIRN HOMES PLC,IE00BWY4ZF18,LSE,FCA 
CAKE BOX HOLDINGS PLC,GB00BDZWB751,LSE,FCA 
CALCULUS VCT PLC,GB00BYQPF348,LSE,FCA 
CALEDONIA INVESTMENTS PLC,GB0001639920,LSE,FCA 
CALEDONIA MINING CORPORATION PLC,JE00BF0XVB15,LSE,FCA 
CALEDONIAN TRUST PLC,GB0001628584,LSE,FCA 
CALISEN PLC,GB00BKX9C181,LSE,FCA 
CALNEX SOLUTIONS PLC,GB00BMBK7016,LSE,FCA 
CAMBIUM GLOBAL TIMBERLAND LIMITED,JE00B1NNWQ21,LSE,FCA 
CAMBRIA AFRICA PLC,IM00B28CVH58,LSE,FCA 
CAMBRIA AUTOMOBILES PLC,GB00B4R32X65,LSE,FCA 
CAMBRIDGE COGNITION HOLDINGS PLC,GB00B8DV9647,LSE,FCA 
CAMELLIA PLC,GB0001667087,LSE,FCA 
"CANADIAN GENERAL INVESTMENTS, LD",CA1358251074,LSE,FCA 
CANADIAN OVERSEAS PETROLEUM LIMITED,CA13643D1078,LSE,FCA 
CAPITAL & COUNTIES PROPERTIES PLC,GB00B62G9D36,LSE,FCA 
CAPITAL GEARING TRUST PLC,GB0001738615,LSE,FCA 
CAPITAL LIMITED,BMG022411000,LSE,FCA 
CAPITAL & REGIONAL PLC,GB00BL6XZ716,LSE,FCA 
CAPITA PLC,GB00B23K0M20,LSE,FCA 
CAP-XX LIMITED,AU0000XINAS1,LSE,FCA 
CARCLO PLC,GB0001751915,LSE,FCA 
CARD FACTORY PLC,GB00BLY2F708,LSE,FCA 
CARDIFF PROPERTY PLC,GB0001754257,LSE,FCA 
CARETECH HOLDINGS PLC,GB00B0KWHQ09,LSE,FCA 
COATS GROUP PLC,GB00B4YZN328,LSE,FCA 
COBRA RESOURCES PLC,GB00BGJW5255,LSE,FCA 
COCA-COLA EUROPEAN PARTNERS PLC,GB00BDCPN049,LSE,FCA 
COCA-COLA HBC AG,CH0198251305,LSE,FCA 
CODEMASTERS GROUP HOLDINGS PLC,GB00BFWZ2G72,LSE,FCA 
COHORT PLC,GB00B0YD2B94,LSE,FCA 
COLEFAX GROUP PLC,GB0002090453,LSE,FCA 
COMPAGNIE DE SAINT-GOBAIN,FR0000125007,LSE,FCA 
COMPASS GROUP PLC,GB00BD6K4575,LSE,FCA 
COMPTOIR GROUP PLC,GB00BYT1L205,LSE,FCA 
COMPUTACENTER PLC,GB00BV9FP302,LSE,FCA 
CONCEPTA PLC,GB00BYZ2R301,LSE,FCA 
CONCURRENT TECHNOLOGIES PLC,GB0002183191,LSE,FCA 
CONDOR GOLD PLC,GB00B8225591,LSE,FCA 
CONDUITY CAPITAL PLC,GB00BMX66220,LSE,FCA 
CONROY GOLD & NATURAL RESOURCES PLC,IE00BZ4BTZ13,LSE,FCA 
CONTANGO HOLDINGS PLC,GB00BF0F5X78,LSE,FCA 
CONTOURGLOBAL PLC,GB00BF448H58,LSE,FCA 
CONVATEC GROUP PLC,GB00BD3VFW73,LSE,FCA 
CONYGAR INVESTMENT COMPANY PLC (THE),GB0033698720,LSE,FCA 
CORA GOLD LIMITED,VGG2423W1077,LSE,FCA 
CORAL PRODUCTS PLC,GB0002235736,LSE,FCA 
CORCEL PLC,GB00BKM69866,LSE,FCA 
CORERO NETWORK SECURITY PLC,GB00B54X0432,LSE,FCA 
CORO ENERGY PLC,GB00BDCFP425,LSE,FCA 
COSTAIN GROUP PLC,GB00B64NSP76,LSE,FCA 
COUNTRYSIDE PROPERTIES PLC,GB00BYPHNG03,LSE,FCA 
COUNTRYWIDE PLC,GB00BK5V9445,LSE,FCA 
CPL RESOURCES PLC,IE0007214426,LSE,FCA 
CPPGROUP PLC,GB00BMDX5Z93,LSE,FCA 
CQS NATURAL RESOURCES GROWTH AND INCOME PLC,GB0000353929,LSE,FCA 
CQS NEW CITY HIGH YIELD FUND LIMITED,JE00B1LZS514,LSE,FCA 
CRANEWARE PLC,GB00B2425G68,LSE,FCA 
CRANSWICK PLC,GB0002318888,LSE,FCA 
CRAVEN HOUSE CAPITAL PLC,GB00BD4FQ360,LSE,FCA 
CREIGHTONS PLC,GB0002341666,LSE,FCA 
CREO MEDICAL GROUP PLC,GB00BZ1BLL44,LSE,FCA 
CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93,LSE,FCA 
CRH PLC,IE0001827603,LSE,FCA 
CRH PLC,IE0001827041,LSE,FCA 
CRIMSON TIDE PLC,GB0002080082,LSE,FCA 
CRITICAL METALS PLC,GB00BJVR6M63,LSE,FCA 
CRODA INTERNATIONAL PLC,GB0002342854,LSE,FCA 
CRODA INTERNATIONAL PLC,GB0002343159,LSE,FCA 
CRODA INTERNATIONAL PLC,GB00BJFFLV09,LSE,FCA 
CROMA SECURITY SOLUTIONS GROUP PLC,GB00B5MJV178,LSE,FCA 
CROPPER (JAMES) PLC,GB0002346053,LSE,FCA 
CROSSWORD CYBERSECURITY PLC,GB00BPFJXS57,LSE,FCA 
CROWN PLACE VCT PLC,GB0002577434,LSE,FCA 
CRYSTAL AMBER FUND LIMITED,GG00B1Z2SL48,LSE,FCA 
CURTIS BANKS GROUP PLC,GB00BW0D4R71,LSE,FCA 
CURZON ENERGY PLC,GB00BD97ND60,LSE,FCA 
CUSTODIAN REIT PLC,GB00BJFLFT45,LSE,FCA 
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,JE00B9G79F59,LSE,FCA 
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,JE00B9MRHZ51,LSE,FCA 
CVS GROUP PLC,GB00B2863827,LSE,FCA 
CYANCONNODE HOLDINGS PLC,GB00BF93WP34,LSE,FCA 
D4T4 SOLUTIONS PLC,GB0001351955,LSE,FCA 
DAILY MAIL & GENERAL TRUST PLC,GB00BJQZC279,LSE,FCA 
DAIRY FARM INTERNATIONAL HOLDINGS LD,BMG2624N1535,LSE,FCA 
DAIRY FARM INTERNATIONAL HOLDINGS LD,BMG2624N1535,LSE,FCA 
DAIRY FARM INTERNATIONAL HOLDINGS LD,BMG2624N1535,LSE,FCA 
DALATA HOTEL GROUP PLC,IE00BJMZDW83,LSE,FCA 
DANAKALI LIMITED,AU000000DNK9,LSE,FCA 
DATANG INTERNATIONAL POWER GENERATION COMPANY LD,CNE1000002Z3,LSE,FCA 
DAVICTUS PLC,JE00BYY5RQ34,LSE,FCA 
DCC PLC,IE0002424939,LSE,FCA 
DCD MEDIA PLC,GB00BBD7QB75,LSE,FCA 
DECHRA PHARMACEUTICALS PLC,GB0009633180,LSE,FCA 
DEEPMATTER GROUP PLC,GB00B29YYY86,LSE,FCA 
DEEPVERGE PLC,GB00BMGWZY29,LSE,FCA 
DEKEL AGRI-VISION PLC,CY0106502111,LSE,FCA 
DE LA RUE PLC,GB00B3DGH821,LSE,FCA 
DELTEX MEDICAL GROUP PLC,GB0059337583,LSE,FCA 
DELTIC ENERGY PLC,GB00B6SYKF01,LSE,FCA 
DERWENT LONDON PLC,GB0002652740,LSE,FCA 
DESTINY PHARMA PLC,GB00BDHSP575,LSE,FCA 
DEV CLEVER HOLDINGS PLC,GB00BH452L44,LSE,FCA 
DEVRO PLC,GB0002670437,LSE,FCA 
DEWHURST PLC,GB0002675261,LSE,FCA 
DEWHURST PLC,GB0002675048,LSE,FCA 
DFS FURNITURE PLC,GB00BTC0LB89,LSE,FCA 
DIACEUTICS PLC,GB00BJQTGV64,LSE,FCA 
DIAGEO PLC,GB0002374006,LSE,FCA 
DIALIGHT PLC,GB0033057794,LSE,FCA 
DIGITALBOX PLC,GB00BJK9H642,LSE,FCA 
DIGNITY PLC,GB00BRB37M78,LSE,FCA 
DILLISTONE GROUP PLC,GB00B13QQB40,LSE,FCA 
DIPLOMA PLC,GB0001826634,LSE,FCA 
DIRECTA PLUS PLC,GB00BSM98843,LSE,FCA 
DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18,LSE,FCA 
DISCOVERIE GROUP PLC,GB0000055888,LSE,FCA 
DISTIL PLC,GB0030164023,LSE,FCA 
DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,GB00BJ7HMR72,LSE,FCA 
DIURNAL GROUP PLC,GB00BDB6Q760,LSE,FCA 
DIVERSE INCOME TRUST (THE) PLC,GB00B65TLW28,LSE,FCA 
DIVERSIFIED GAS & OIL PLC,GB00BYX7JT74,LSE,FCA 
DIXONS CARPHONE PLC,GB00B4Y7R145,LSE,FCA 
DODS GROUP PLC,GB0031129579,LSE,FCA 
DOLPHIN CAPITAL INVESTORS LIMITED,VGG2803G1028,LSE,FCA 
DOMINO'S PIZZA GROUP PLC,GB00BYN59130,LSE,FCA 
DORIC NIMROD AIR ONE LIMITED,GG00B4MF3899,LSE,FCA 
DORIC NIMROD AIR THREE LIMITED,GG00B92LHN58,LSE,FCA 
DORIC NIMROD AIR TWO LIMITED,GG00B3Z62522,LSE,FCA 
DOTDIGITAL GROUP PLC,GB00B3W40C23,LSE,FCA 
DOWNING FOUR VCT PLC,GB00BWX53D91,LSE,FCA 
DOWNING FOUR VCT PLC,GB00BDHF5B49,LSE,FCA 
DOWNING FOUR VCT PLC,GB00BDHF5D62,LSE,FCA 
DOWNING FOUR VCT PLC,GB00B6QPQ463,LSE,FCA 
DOWNING ONE VCT PLC,GB00BFRSVQ41,LSE,FCA 
DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,GB00BF0SCX52,LSE,FCA 
DOWNING THREE VCT PLC,GB00B6ZS1P26,LSE,FCA 
DOWNING THREE VCT PLC,GB00BH7Y7B35,LSE,FCA 
DOWNING THREE VCT PLC,GB00BSTK6426,LSE,FCA 
DOWNING TWO VCT PLC,GB00B6ZS0J90,LSE,FCA 
DOWNING TWO VCT PLC,GB00B8Y7CS47,LSE,FCA 
DOWNING TWO VCT PLC,GB00BZ6CSD33,LSE,FCA 
DP AIRCRAFT I LIMITED,GG00BBP6HP33,LSE,FCA 
DP EURASIA N.V.,NL0012328801,LSE,FCA 
DP POLAND PLC,GB00B3Q74M51,LSE,FCA 
DRAPER ESPRIT PLC,GB00BY7QYJ50,LSE,FCA 
DRAPER ESPRIT VCT PLC,GB0002867140,LSE,FCA 
DRAX GROUP PLC,GB00B1VNSX38,LSE,FCA 
DRIVER GROUP PLC,GB00B0L9C092,LSE,FCA 
DRUM INCOME PLUS REIT PLC,GB00BW4NWS02,LSE,FCA 
DRUMZ PLC,GB00B06CZD75,LSE,FCA 
DUKEMOUNT CAPITAL PLC,GB00B6WZDF03,LSE,FCA 
DUKE ROYALTY LIMITED,GG00BYZSSY63,LSE,FCA 
DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,GB0005776561,LSE,FCA 
DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,GB0003406096,LSE,FCA 
DUNELM GROUP PLC,GB00B1CKQ739,LSE,FCA 
DWF GROUP PLC,GB00BJMD6M39,LSE,FCA 
DX (GROUP) PLC,GB00BJTCG679,LSE,FCA 
EAGLE EYE SOLUTIONS GROUP PLC,GB00BKF1YD83,LSE,FCA 
EASYJET PLC,GB00B7KR2P84,LSE,FCA 
EBIQUITY PLC,GB0004126057,LSE,FCA 
ECCLESIASTICAL INSURANCE OFFICE PLC,GB0003035382,LSE,FCA 
ECHO ENERGY PLC,GB00BF0YPG76,LSE,FCA 
ECKOH PLC,GB0033359141,LSE,FCA 
ECO ANIMAL HEALTH GROUP PLC,GB0032036807,LSE,FCA 
ECO (ATLANTIC) OIL & GAS LTD,CA27887W1005,LSE,FCA 
ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,GB00BD3V4641,LSE,FCA 
ECR MINERALS PLC,GB00BYYDKX57,LSE,FCA 
ECSC GROUP PLC,GB00BYMJ4J99,LSE,FCA 
EDDIE STOBART LOGISTICS PLC,GB00BD8QVC95,LSE,FCA 
EDEN RESEARCH PLC,GB0001646941,LSE,FCA 
EDENVILLE ENERGY PLC,GB00BD0S4T13,LSE,FCA 
EDGE PERFORMANCE VCT PLC,GB00B44VMB16,LSE,FCA 
EDGE PERFORMANCE VCT PLC,GB00B5B6VC05,LSE,FCA 
EDINBURGH INVESTMENT TRUST PLC,GB0003052338,LSE,FCA 
EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,GB00BHSRZC82,LSE,FCA 
EDISTON PROPERTY INVESTMENT COMPANY PLC,GB00BNGMZB68,LSE,FCA 
EENERGY GROUP PLC,GB00BJP1KD31,LSE,FCA 
EGDON RESOURCES PLC,GB00B28YML29,LSE,FCA 
EJF INVESTMENTS LTD,JE00BK1WV903,LSE,FCA 
EJF INVESTMENTS LTD,JE00BF0D1M25,LSE,FCA 
EJF INVESTMENTS LTD,JE00BDG12N48,LSE,FCA 
EKF DIAGNOSTICS HOLDINGS PLC,GB0031509804,LSE,FCA 
ELECO PUBLIC LIMITED COMPANY,GB0003081246,LSE,FCA 
ELECTRA PRIVATE EQUITY PLC,GB0003085445,LSE,FCA 
ELECTROCOMPONENTS PLC,GB0003096442,LSE,FCA 
ELEMENTIS PLC,GB0002418548,LSE,FCA 
ELIXIRR INTERNATIONAL PLC,GB00BLPHTX84,LSE,FCA 
EMIS GROUP PLC,GB00B61D1Y04,LSE,FCA 
EMMERSON PLC,IM00BDHDTX83,LSE,FCA 
EMPIRE METALS LIMITED,VGG3036T1012,LSE,FCA 
EMPIRIC STUDENT PROPERTY PLC,GB00BLWDVR75,LSE,FCA 
EMPRESARIA GROUP PLC,GB00B0358N07,LSE,FCA 
EMPYREAN ENERGY PLC,GB00B09G2351,LSE,FCA 
ENDEAVOUR INTERNATIONAL CORPORATION,US29259G2003,LSE,FCA 
ENERGEAN PLC,GB00BG12Y042,LSE,FCA 
ENQUEST PLC,GB00B635TG28,LSE,FCA 
ENTEQ UPSTREAM PLC,GB00B41Q8Q68,LSE,FCA 
ENWELL ENERGY PLC,GB0031775819,LSE,FCA 
EPE SPECIAL OPPORTUNITIES LIMITED,BMG3163K1053,LSE,FCA 
EP GLOBAL OPPORTUNITIES TRUST PLC,GB0033862573,LSE,FCA 
EPWIN GROUP PLC,GB00BNGY4Y86,LSE,FCA 
EQTEC PLC,IE00BH3XCL94,LSE,FCA 
EQUALS GROUP PLC,GB00BLS0XX25,LSE,FCA 
EQUATORIAL PALM OIL PLC,GB00B2QBNL29,LSE,FCA 
EQUINITI GROUP PLC,GB00BYWWHR75,LSE,FCA 
ERGOMED PLC,GB00BN7ZCY67,LSE,FCA 
ESCAPE HUNT PLC,GB00BDB79J29,LSE,FCA 
ESSENSYS PLC,GB00BJL1ZF49,LSE,FCA 
ESSENTRA PLC,GB00B0744359,LSE,FCA 
E-THERAPEUTICS PLC,GB00B2823H99,LSE,FCA 
ETHERNITY NETWORKS LTD,IL0011410359,LSE,FCA 
EURASIA MINING PLC,GB0003230421,LSE,FCA 
EUROCELL PLC,GB00BVV2KN49,LSE,FCA 
EUROMONEY INSTITUTIONAL INVESTOR PLC,GB0006886666,LSE,FCA 
EUROPA METALS LTD,AU0000090060,LSE,FCA 
EUROPA OIL & GAS (HOLDINGS) PLC,GB00B03CJS30,LSE,FCA 
EUROPEAN ASSETS TRUST PLC,GB00BHJVQ590,LSE,FCA 
EUROPEAN METALS HOLDINGS LIMITED,VGG3191T1021,LSE,FCA 
EUROPEAN OPPORTUNITIES TRUST PLC,GB0000197722,LSE,FCA 
EVERARC HOLDINGS LIMITED,VGG3218K1003,LSE,FCA 
EVERARC HOLDINGS LIMITED,VGG3218K1185,LSE,FCA 
EVERYMAN MEDIA GROUP PLC,GB00BFH55S51,LSE,FCA 
EVE SLEEP PLC,GB00BYWMFT51,LSE,FCA 
EVGEN PHARMA PLC,GB00BSVYN304,LSE,FCA 
EVRAZ PLC,GB00B71N6K86,LSE,FCA 
EXILLON ENERGY PLC,IM00B58FMW76,LSE,FCA 
EXPERIAN PLC,GB00B19NLV48,LSE,FCA 
FAIR OAKS INCOME LIMITED,GG00BF00L342,LSE,FCA 
FALANX GROUP LIMITED,VGG3338A1075,LSE,FCA 
FALCON OIL & GAS LTD.,CA3060711015,LSE,FCA 
FANDANGO HOLDINGS PLC,GB00BF2P0G38,LSE,FCA 
FARON PHARMACEUTICALS OY,FI4000153309,LSE,FCA 
FASTFORWARD INNOVATIONS LIMITED,GG00BRK9BQ81,LSE,FCA 
FBD HOLDINGS PLC,IE0003290289,LSE,FCA 
F&C INVESTMENT TRUST PLC,GB0003466074,LSE,FCA 
FDM GROUP (HOLDINGS) PLC,GB00BLWDVP51,LSE,FCA 
FEEDBACK PLC,GB0003340550,LSE,FCA 
FERGUSON PLC,JE00BJVNSS43,LSE,FCA 
FERREXPO PLC,GB00B1XH2C03,LSE,FCA 
FERRO-ALLOY RESOURCES LIMITED,GG00BGDYDZ69,LSE,FCA 
FEVERTREE DRINKS PLC,GB00BRJ9BJ26,LSE,FCA 
FIDELITY ASIAN VALUES PLC,GB0003322319,LSE,FCA 
FIDELITY CHINA SPECIAL SITUATIONS PLC,GB00B62Z3C74,LSE,FCA 
FIDELITY EUROPEAN VALUES PLC,GB00BK1PKQ95,LSE,FCA 
FIDELITY JAPAN TRUST PLC,GB0003328555,LSE,FCA 
FIDELITY SPECIAL VALUES PLC,GB00BWXC7Y93,LSE,FCA 
FIH GROUP PLC,GB00BD0CWJ91,LSE,FCA 
FILTA GROUP HOLDINGS PLC,GB00BDB7J920,LSE,FCA 
FILTRONIC PLC,GB0003362992,LSE,FCA 
FINABLR PLC,GB00BJ7HMW26,LSE,FCA 
FINNCAP GROUP PLC,GB00BGKPX309,LSE,FCA 
FINSBURY FOOD GROUP PLC,GB0009186429,LSE,FCA 
FINSBURY GROWTH & INCOME TRUST PLC,GB0007816068,LSE,FCA 
FIREANGEL SAFETY TECHNOLOGY GROUP PLC,GB0030508757,LSE,FCA 
FIRST DERIVATIVES PLC,GB0031477770,LSE,FCA 
FIRSTGROUP PLC,GB0003452173,LSE,FCA 
FIRST PROPERTY GROUP PLC,GB0004109889,LSE,FCA 
FISHER (JAMES) & SONS PLC,GB0003395000,LSE,FCA 
FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY,GB0003401261,LSE,FCA 
FISKE PLC,GB0003353157,LSE,FCA 
FLETCHER KING PLC,GB0003425310,LSE,FCA 
FLOWTECH FLUIDPOWER PLC,GB00BM4NR742,LSE,FCA 
FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,LSE,FCA 
FOCUSRITE PLC,GB00BSBMW716,LSE,FCA 
FONIX MOBILE PLC,GB00BN789668,LSE,FCA 
FORESIGHT 4 VCT PLC,GB00B07YBS95,LSE,FCA 
FORESIGHT SOLAR FUND LIMITED,JE00BD3QJR55,LSE,FCA 
FORESIGHT SOLAR & TECHNOLOGY VCT PLC,GB00B640GZ49,LSE,FCA 
FORESIGHT SOLAR & TECHNOLOGY VCT PLC,GB00BKF2JH04,LSE,FCA 
FORESIGHT VCT PLC,GB00B68K3716,LSE,FCA 
FORTERRA PLC,GB00BYYW3C20,LSE,FCA 
FOX MARBLE HOLDINGS PLC,GB00B7LGG306,LSE,FCA 
FOXTONS GROUP PLC,GB00BCKFY513,LSE,FCA 
FRAGRANT PROSPERITY HOLDINGS LIMITED,VGG368811037,LSE,FCA 
FRANCHISE BRANDS PLC,GB00BD6P7Y24,LSE,FCA 
FRASERS GROUP PLC,GB00B1QH8P22,LSE,FCA 
FRENCH CONNECTION GROUP PLC,GB0033764746,LSE,FCA 
FRENKEL TOPPING GROUP PLC,GB00B01YXQ71,LSE,FCA 
FRESNILLO PLC,GB00B2QPKJ12,LSE,FCA 
FRONTIER DEVELOPMENTS PLC,GB00BBT32N39,LSE,FCA 
FRONTIER IP GROUP PLC,GB00B63PS212,LSE,FCA 
